hgnc	uniprot_id
LGALS13	Q9UHV8
LGALS14	Q8TCE9
LHFPL5	Q8TAF8
LHX3	Q9UBR4
LHX5	Q9H2C1
LIM2	P55344
LIN28A	Q9H9Z2
LIPM	Q5VYY2
LRIT1	Q9P2V4
LRIT2	A6NDA9
LRRC10	Q5BKY1
LUZP4	Q9P127
LYZL1	Q6UWQ5
LYZL2	Q7Z4W2
LYZL6	O75951
MAGEA10	P43363
MAGEA11	P43364
MAGEB1	P43366
MAGEB10	Q96LZ2
MAGEB18	Q96M61
MAGEB3	O15480
MAGEB4	O15481
MAGEC3	Q8TD91
MAS1	P04201
MAS1L	P35410
MBD3L1	Q8WWY6
MBD3L2	Q8NHZ7
MBL2	P11226
MC2R	Q01718
MC3R	P41968
MC5R	P33032
MEP1A	Q16819
MEP1B	Q16820
MEPE	Q9NQ76
MFRP	Q9BY79
MMD2	Q8IY49
MMP20	O60882
MMP21	Q8N119
MMP26	Q9NRE1
MMP27	Q9H306
MOGAT3	Q86VF5
MORC1	Q86VD1
MRGPRD	Q8TDS7
MRGPRX1	Q96LB2
MRGPRX2	Q96LB1
MRGPRX4	Q96LA9
MS4A10	Q96PG2
MS4A13	Q5J8X5
MS4A5	Q9H3V2
MSGN1	A6NI15
MT1B	P07438
MTNR1B	P49286
MUC17	Q685J3
MUC7	Q8TAX7
MYBPC3	Q14896
MYF5	P13349
NANOGNB	Q7Z5D8
NANOS2	P60321
NCR2	O95944
NDST4	Q9H3R1
NEUROD2	Q15784
NEUROD4	Q9HD90
NEUROD6	Q96NK8
NEUROG1	Q92886
NKX2-1	P43699
NKX2-2	O95096
NLRP4	Q96MN2
NLRP5	P59047
NLRP8	Q86W28
NLRP9	Q7RTR0
NMS	Q5H8A3
NOBOX	O60393
NOTO	A8MTQ0
NOX3	Q9HBY0
NPFFR1	Q9GZQ6
NPHS2	Q9NP85
NPSR1	Q6W5P4
NPVF	Q9HCQ7
NR2E1	Q9Y466
NYX	Q9GZU5
OC90	Q02509
OLIG2	Q13516
OLIG3	Q7RTU3
OPALIN	Q96PE5
OPN1LW	P04000
OPN5	Q6U736
OR10A2	Q9H208
OR10A4	Q9H209
OR10A5	Q9H207
OR10H1	Q9Y4A9
OR10H2	O60403
OR10H3	O60404
OR10J1	P30954
OR10R2	Q8NGX6
OR10S1	Q8NGN2
OR10X1	Q8NGY0
