Q9NX08 COMMD8
Q9NYK1 TLR7
Q9NZD8 SPG21
Q9NZN3 EHD3
Q9P2W3 GNG13
Q9P2W6 C11orf21
Q9UK76 JPT1
Q9UQ16 DNM3
Q9UQL6 HDAC5
Q9Y243 AKT3
Q9Y2T6 GPR55
Q9Y2X9 ZNF281
A0A075B6W1 TRDJ3
A0A075B6W9 TRAJ53
A0A1W2PS18 PMIS2
A0A494C103 LOC112577516
A6NC05 C5orf63
A6NEQ0 RBMY1E
A8MZA4 GOLGA6L6
E5RQL4 FTCDNL1
G2XKQ0 SUMO1P1
O00264 PGRMC1
O43854 EDIL3
O75443 TECTA
O75886 STAM2
O94759 TRPM2
O94769 ECM2
P07108 DBI
P11150 LIPC
P12830 CDH1
P13473 LAMP2
P18858 LIG1
P20929 NEB
P26440 IVD
P32856 STX2
P35247 SFTPD
P40394 ADH7
P48506 GCLC
P49427 CDC34
P49798 RGS4
P54922 ADPRH
P58004 SESN2
P59533 TAS2R38
P59536 TAS2R41
Q13454 TUSC3
Q13976 PRKG1
Q14242 SELPLG
Q15572 TAF1C
Q16600 ZNF239
Q16854 DGUOK
Q2QL34 MPV17L
Q3ZCM7 TUBB8
Q5FBB7 SGO1
Q5GAN4 RNASE12
Q5JZY3 EPHA10
Q5TKA1 LIN9
Q5U623 ATF7IP2
Q5VVQ6 YOD1
Q6BAA4 FCRLB
Q6IEY1 OR4F16
Q6NV74 CRACDL
Q6P9G4 TMEM154
Q6ZVW7 IL17REL
Q7L311 ARMCX2
Q86TI4 WDR86
Q86UD3 MARCHF3
Q8IU57 IFNLR1
Q8IXQ6 PARP9
Q8IXT2 DMRTC2
Q8IZM9 SLC38A6
Q8N8R7 ARL14EP
Q8NF86 PRSS33
Q8NG81 OR2M7
Q8NGF8 OR4B1
Q8NH59 OR51Q1
Q8NHS1 CLDND2
Q8TAE6 PPP1R14C
Q8TCU5 GRIN3A
Q8WWQ2 HPSE2
Q8WWR9 PPDPFL
Q8WY64 MYLIP
Q8WY91 THAP4
Q92752 TNR
Q96AP7 ESAM
Q96GA7 SDSL
Q96GJ1 TRMT2B
Q96N58 ZNF578
Q96PM9 ZNF385A
Q96SU4 OSBPL9
Q99729 HNRNPAB
Q99805 TM9SF2
Q9BQC3 DPH2
Q9BTE7 DCUN1D5
Q9GZP8 IMUP
Q9H3Y6 SRMS
Q9H444 CHMP4B
Q9H6L4 ARMC7
Q9H6R4 NOL6
Q9HB31 SEBOX
Q9HCH5 SYTL2
Q9HD45 TM9SF3
Q9NQZ3 DAZ1
Q9NRC8 SIRT7
Q9NRY4 ARHGAP35
Q9NVN3 RIC8B
Q9NWF4 SLC52A1
Q9P2E7 PCDH10
Q9UK33 ZNF580
Q9ULD0 OGDHL
Q9Y250 LZTS1
Q9Y587 AP4S1
Q9Y6H5 SNCAIP
A0A075B708 TRAJ61
A0A075B713 TRAJ1
A0A0B4J275 TRAV17
A1KXE4 FAM168B
A6NFU0 FAM187A
A6NGJ6 TRIM64
A6NHS7 MANSC4
A6NIU2 LINC01549
A6NMN3 FAM170B
A8MWE9 EFCAB8
B5MD39 GGTLC3
O14628 ZNF195
O14967 CLGN
O15055 PER2
O43164 PJA2
O43869 OR2T1
O75438 NDUFB1
O75478 TADA2A
O75746 SLC25A12
O75747 PIK3C2G
O95772 STARD3NL
O96004 HAND1
P02730 SLC4A1
P05156 CFI
P09132 SRP19
P13073 COX4I1
P13929 ENO3
P16220 CREB1
P17706 PTPN2
P20340 RAB6A
P28067 HLA-DMA
P32245 MC4R
P42772 CDKN2B
P54793 ARSF
P55273 CDKN2D
P60411 KRTAP10-9
P78509 RELN
P84550 SKOR1
Q06546 GABPA
Q10469 MGAT2
Q10587 TEF
Q12926 ELAVL2
Q12934 BFSP1
Q13342 SP140
Q14511 NEDD9
Q15612 OR1Q1
Q1A5X7 WHAMMP3
Q2M2E5 C5orf64
Q2M3G0 ABCB5
Q2TAK8 PWWP3A
Q4KMX7 FAM106A
Q4LE39 ARID4B
Q5SR53 PIK3CD-AS1
Q5VTT5 MYOM3
Q5VZR2 NUTM2G
Q6L8G4 KRTAP5-11
Q6P2I3 FAHD2B
Q6UXU4 GSG1L
Q6ZMR5 TMPRSS11A
Q6ZRI8 ARHGAP36
Q6ZSA7 LRRC55
Q6ZSU1 CYP2G1P
Q7Z4W1 DCXR
Q86UW2 SLC51B
Q86V15 CASZ1
Q8IWY4 SCUBE1
Q8N3C0 ASCC3
Q8N413 SLC25A45
Q8N535 LINC00471
Q8NFU5 IPMK
Q8NG78 OR8G5
Q8NGS3 OR1J1
Q8TDN4 CABLES1
Q8WWW8 GAB3
Q8WX39 LCN9
Q92782 DPF1
Q92915 FGF14
Q969W0 SPTSSA
Q96PP9 GBP4
Q96QI5 HS3ST6
Q9BQ66 KRTAP4-12
Q9BRA0 NAA38
Q9BT40 INPP5K
Q9BTA9 WAC
Q9BYC2 OXCT2
Q9BYE4 SPRR2G
Q9H089 LSG1
Q9H8X3 LINC00574
Q9HCT0 FGF22
Q9NY37 ASIC5
Q9NZV5 SELENON
Q9UFE4 CCDC39
Q9Y2J8 PADI2
Q9Y2T4 PPP2R2C
Q9Y2V0 CDIN1
Q9Y337 KLK5
Q9Y5H3 PCDHGA10
Q9Y5W5 WIF1
Q9Y6C5 PTCH2
Q9Y6N9 USH1C
A0JNW5 UHRF1BP1L
A6NJL1 ZSCAN5B
A6NL05 FAM74A7
A8MX76 CAPN14
C9J1S8 TRIM49D1
H3BQB6 STMND1
O00212 RHOD
O14490 DLGAP1
O14556 GAPDHS
O15374 SLC16A4
O75095 MEGF6
O75600 GCAT
O95436 SLC34A2
O95685 PPP1R3D
P02655 APOC2
P0C843 LINC00032
P10589 NR2F1
P13591 NCAM1
P14373 TRIM27
P15918 RAG1
P17032 ZNF37A
P17174 GOT1
P20309 CHRM3
P20783 NTF3
P22303 ACHE
P30279 CCND2
P34903 GABRA3
P35225 IL13
P35408 PTGER4
P41594 GRM5
P56378 ATP5MJ
P80075 CCL8
Q01469 FABP5
Q02221 COX6A2
Q02846 GUCY2D
Q15139 PRKD1
Q15438 CYTH1
Q16473 TNXA
Q17RS7 GEN1
Q1ZZU3 SWI5
Q3LIE5 ADPRM
Q3SYG4 BBS9
Q5EBL4 RILPL1
Q5JSL3 DOCK11
Q5VT97 SYDE2
Q6GPI1 CTRB2
Q6P1K2 PMF1
Q6UVW9 CLEC2A
Q6UXD7 SLC49A3
Q6ZU15 SEPTIN14
Q7Z3V4 UBE3B
Q86SE5 RALYL
Q86UN2 RTN4RL1
Q86V81 ALYREF
Q8IXQ8 PDZD9
Q8N2M8 CLASRP
Q8N2N9 ANKRD36B
Q8N465 D2HGDH
Q8N8N0 RNF152
Q8NGZ2 OR14K1
Q8TAE8 GADD45GIP1
Q8TAF7 ZNF461
Q8TAL6 FIBIN
Q8TBH0 ARRDC2
Q8WU17 RNF139
Q92484 SMPDL3A
Q92616 GCN1
Q969F9 HPS3
Q96JT2 SLC45A3
Q96L92 SNX27
Q96LI9 CXorf58
Q96PJ5 FCRL4
Q99698 LYST
Q99715 COL12A1
Q99814 EPAS1
Q9BUV8 RAB5IF
Q9BXI9 C1QTNF6
Q9BXL5 HEMGN
Q9BZD4 NUF2
Q9GZY1 PBOV1
Q9HAC8 UBTD1
Q9HAV0 GNB4
Q9HBV2 SPACA1
Q9NRP0 OSTC
Q9NUB4 C20orf141
Q9NW15 ANO10
Q9NWU1 OXSM
Q9NX74 DUS2
Q9NXS3 KLHL28
Q9NYQ3 HAO2
Q9NZQ9 TMOD4
Q9P0B6 CCDC167
Q9P2K1 CC2D2A
Q9ULD5 ZNF777
Q9UN36 NDRG2
Q9Y235 APOBEC2
Q9Y277 VDAC3
Q9Y284 WDR83OS
Q9Y4F4 TOGARAM1
Q9Y5H4 PCDHGA1
A0A075B704 TRAJ57
A0A0A0MT94 TRBJ2-2
A0A539 TRBV4-2
A1A5C7 SLC22A23
A6NCF6 MAGEA13P
A8MTJ3 GNAT3
B1ANY3 FAM220BP
O00206 TLR4
O15078 CEP290
O15294 OGT
O60239 SH3BP5
O60941 DTNB
O75830 SERPINI2
O94842 TOX4
O94966 USP19
O95156 NXPH2
P01742 IGHV1-69
P05114 HMGN1
P05981 HPN
P07358 C8B
P07498 CSN3
P07766 CD3E
P0C025 NUDT17
P0CG31 ZNF286B
P0CL80 GAGE12F
P12104 FABP2
P17040 ZSCAN20
P22626 HNRNPA2B1
P25789 PSMA4
P46940 IQGAP1
P47881 OR3A1
P48551 IFNAR2
P51159 RAB27A
P51572 BCAP31
P51677 CCR3
P53396 ACLY
P59922 OR2B8P
P61568 ERVK11-1
P69892 HBG2
P78368 CSNK1G2
Q00994 BEX3
Q01973 ROR1
Q05BQ5 MBTD1
Q07001 CHRND
Q0VDF9 HSPA14
Q15349 RPS6KA2
Q15527 SURF2
Q2M3D2 EXOC3L2
Q5T5U3 ARHGAP21
Q6IA86 ELP2
Q6P4E1 GOLM2
Q6PGP7 TTC37
Q6PIV2 FOXR1
Q6YP21 KYAT3
Q6ZRP0 PRR23C
Q7RTY8 TMPRSS7
Q7Z309 PABIR2
Q8N142 ADSS1
Q8N302 AGGF1
Q8N3S3 PHTF2
Q8N3Z3 GTPBP8
