hgnc	uniprot_id
FOLR1	P15328
FOXE1	O00358
FOXF1	Q12946
FOXI1	Q12951
FOXN1	O15353
FOXRED1	Q96CU9
FRAS1	Q86XX4
FREM1	Q5H8C1
FREM2	Q5SZK8
FSHB	P01225
FSHR	P23945
FTCD	O95954
FTO	Q9C0B1
FUCA1	P04066
FUS	P35637
FUT1	P19526
FXN	Q16595
G6PC3	Q9BUM1
GAA	P10253
GAL3ST1	Q99999
GALC	P54803
GALE	Q14376
GALK1	P51570
GALNS	P34059
GALNT3	Q14435
GALT	P07902
GAMT	Q14353
GAN	Q9H2C0
GATM	P50440
GBA	P04062
GBE1	Q04446
GCDH	Q92947
GCH1	P30793
GCLC	P48506
GCSH	P23434
GDAP1	Q8TB36
GDF1	P27539
GDF5	P43026
GFM1	Q96RP9
GGCX	P38435
GGT1	P19440
GH1	P01241
GHR	P10912
GHRHR	Q02643
GHSR	Q92847
GJB3	O75712
GJC2	Q5T442
GLB1	P16278
GLDC	P23378
GLE1	Q53GS7
GLI3	P10071
GLIS2	Q9BZE0
GLIS3	Q8NEA6
GLRB	P48167
GLRX5	Q86SX6
GLUL	P15104
GM2A	P17900
GNAT2	P19087
GNE	Q9Y223
GNMT	Q14749
GNPAT	O15228
GNPTAB	Q3T906
GNPTG	Q9UJJ9
GNRHR	P30968
GNS	P15586
GORAB	Q5T7V8
GP1BA	P07359
GP1BB	P13224
GP9	P14770
GPC6	Q9Y625
GPSM2	P81274
GPX1	P07203
GRHPR	Q9UBQ7
GRIK2	Q13002
GRK1	Q15835
GRM6	O15303
GRXCR1	A8MXD5
GSR	P00390
GTF2H5	Q6ZYL4
GUSB	P08236
GYG1	P46976
GYS1	P13807
GYS2	P54840
HADH	Q16836
HADHA	P40939
HADHB	P55084
HAL	P42357
HAMP	P81172
HAX1	O00165
HBB	P68871
HES7	Q9BYE0
HESX1	Q9UBX0
HEXA	P06865
HEXB	P07686
HFE	Q30201
HGD	Q93099
HGF	P14210
HGSNAT	Q68CP4
HIBCH	Q6NVY1
HLCS	P50747
HMGCL	P35914
HMGCS2	P54868
HMOX1	P09601
HMX1	Q9NP08
HOGA1	Q86XE5
HOXA1	P49639
HOXA2	O43364
HPD	P32754
HPGD	P15428
HPS1	Q92902
HPS3	Q969F9
HPS4	Q9NQG7
HPS5	Q9UPZ3
HPS6	Q86YV9
HPSE2	Q8WWQ2
HR	O43593
HSD11B2	P80365
HSD17B3	P37058
HSD17B4	P51659
HSD3B2	P26439
HSD3B7	Q9H2F3
HSPG2	P98160
HYAL1	Q12794
HYLS1	Q96M11
ICOS	Q9Y6W8
IDH3B	O43837
IDUA	P35475
IFNGR1	P15260
IFNGR2	P38484
IFT80	Q9P2H3
IGF1	P05019
IGHMBP2	P38935
IGLL1	P15814
IHH	Q14623
IL10RA	Q13651
IL10RB	Q08334
IL12B	P29460
IL12RB1	P42701
IL1RN	P18510
IL2RA	P01589
IL7R	P16871
IMPDH1	P20839
IMPG2	Q9BZV3
INPP5E	Q9NRR6
INSL3	P51460
INSR	P06213
INTS2	Q9H0H0
IQCB1	Q15051
IRAK4	Q9NWZ3
ISYNA1	Q9NPH2
ITCH	Q96J02
ITGA2B	P08514
ITGA6	P23229
ITGA7	Q13683
ITGB2	P05107
ITGB3	P05106
ITGB4	P16144
IVD	P26440
IYD	Q6PHW0
JAK3	P52333
JAM3	Q9BX67
KAAG1	Q9UBP8
KCNA4	P22459
KCNE1	P15382
KCNJ1	P48048
KCNJ10	P78508
KCNV2	Q8TDN2
KCTD7	Q96MP8
KERA	O60938
KHK	P50053
KLK4	Q9Y5K2
KLKB1	P03952
KMT2D	O14686
KRT14	P02533
KRT18	P05783
KRT8	P05787
L2HGDH	Q9H9P8
LAMA2	P24043
LAMA4	Q16363
LAMB2	P55268
LAMB3	Q13751
LAMC2	Q13753
LAMTOR2	Q9Y2Q5
LBR	Q14739
LCA5	Q86VQ0
LCAT	P04180
LDHA	P00338
LDLRAP1	Q5SW96
LEP	P41159
LEPR	P48357
LFNG	Q8NES3
LHFPL5	Q8TAF8
LHX3	Q9UBR4
LIFR	P42702
LIG4	P49917
LIM2	P55344
LIPA	P38571
LIPH	Q8WWY8
LMAN1	P49257
LMBRD1	Q9NUN5
LMF1	Q96S06
LOXHD1	Q8IVV2
LPAR6	P43657
LPIN1	Q14693
LPIN2	Q92539
LPL	P06858
LRAT	O95237
LRIG1	Q96JA1
LRP4	O75096
LRPPRC	P42704
LRTOMT	Q8WZ04
LTBP3	Q9NS15
LTBP4	Q8N2S1
LTC4S	Q16873
LYST	Q99698
MAN2B1	O00754
MANBA	O00462
MAPK10	P53779
